file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,churn,files,NR,NBF,nc,ncom,avg_cs,dsc,ce,exp,own,is_controller,is_procedural,is_test,is_util,is_external
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\api\ui\GlobalsView.java,gov.nysenate.openleg.api.ui.GlobalsView,class,2,3,1,2,8,1,0,1,14,0.6875,0.25,0.53571427,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,32,6,0,0,0,0,2,0,4,0,4,0,0,0,0,20,1,0,170,9,0,0,2.0,1.0,4.5,3.25,0.6869615765973234,2.0,1.0,True,True,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\legislation\transcripts\session\dao\SqlFsTranscriptFileDao.java,gov.nysenate.openleg.legislation.transcripts.session.dao.SqlFsTranscriptFileDao,class,14,15,1,14,16,2,0,36,18,0.7083333,0.16666667,0.16666667,8,0,4,4,0,0,4,0,0,0,3,1,0,3,0,0,1,0,4,98,4,1,4,2,0,19,3,17,4,17,2,0,1,0,94,1,1,8272,292,4,6,17.0,4.0,17.176470588235293,5.673469387755102,2.5575904605526794,4.25,0.47058823529411764,False,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\notifications\mail\MailException.java,gov.nysenate.openleg.notifications.mail.MailException,class,0,1,1,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,783,16,0,0,1.0,1.0,16.0,0.0,0.0,1.0,1.0,False,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\api\legislation\calendar\view\CalendarEntryView.java,gov.nysenate.openleg.api.legislation.calendar.view.CalendarEntryView,class,5,8,3,5,8,4,1,11,11,0.72222227,0.13333334,0.2,6,0,5,0,1,0,6,0,0,0,3,1,1,0,2,0,1,0,3,26,4,0,2,0,0,5,0,3,1,3,1,0,0,0,22,1,0,10961,404,1,1,15.0,5.0,26.933333333333334,7.300411522633745,2.3628564611922,3.0,0.5333333333333333,False,True,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\spotchecks\alert\agenda\AgendaReportService.java,gov.nysenate.openleg.spotchecks.alert.agenda.AgendaReportService,class,8,8,0,8,4,2,0,7,3,0.6666667,0.0,0.0,3,0,0,0,3,0,3,0,0,0,1,0,0,0,0,1,0,0,1,16,2,0,0,0,0,1,0,1,0,2,1,0,0,0,33,1,0,4715,177,1,2,6.0,2.0,29.5,8.222222222222221,1.699530078348529,3.0,0.8333333333333334,True,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\spotchecks\alert\calendar\BaseCalendarAlertParser.java,gov.nysenate.openleg.spotchecks.alert.calendar.BaseCalendarAlertParser,class,1,4,3,1,1,1,3,2,0,0.0,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1025,0,2050,43,0,0,5.0,2.0,8.6,3.92,1.4499774898526043,2.5,0.8,True,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\test\java\gov\nysenate\openleg\processors\bill\BillLawCodeParserTest.java,gov.nysenate.openleg.processors.bill.BillLawCodeParserTest,class,6,7,1,6,30,1,0,9,433,0.93333334,0.0,0.0,30,0,28,2,0,0,28,0,0,0,1,0,0,1,0,0,0,0,1,188,0,0,0,0,0,288,0,3,10,3,0,0,0,0,160,1,0,3667,90,0,0,17.0,3.0,5.294117647058823,8.666666666666666,2.6466309607893197,5.666666666666667,0.8235294117647058,True,False,True,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\spotchecks\sensite\agenda\SenSiteAgendaReportService.java,gov.nysenate.openleg.spotchecks.sensite.agenda.SenSiteAgendaReportService,class,16,17,1,16,7,2,0,25,4,0.65,0.33333334,0.33333334,5,0,2,2,1,0,3,0,0,0,4,1,0,4,0,0,4,0,3,43,2,1,0,0,0,3,0,12,0,12,2,0,0,0,63,1,3,2311,69,1,2,4.0,1.0,17.25,0.0,1.1113278557313784,4.0,1.0,True,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\api\legislation\committee\CommitteeSearchCtrl.java,gov.nysenate.openleg.api.legislation.committee.CommitteeSearchCtrl,class,19,20,1,19,6,2,0,19,1,0.6666667,0.33333334,0.33333334,3,0,2,0,1,0,3,0,0,0,3,1,0,1,0,2,1,0,2,19,3,0,0,0,0,9,2,6,1,9,0,0,0,1,89,1,0,3059,92,0,1,4.0,2.0,23.0,5.642222222222222,1.3614694873059117,2.0,0.75,True,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\test\java\gov\nysenate\openleg\legislation\transcripts\session\dao\SqlTranscriptDaoIT.java,gov.nysenate.openleg.legislation.transcripts.session.dao.SqlTranscriptDaoIT,class,12,13,1,12,18,2,0,32,0,0.48888886,0.6,0.6,5,1,4,1,0,0,5,0,0,0,9,7,0,9,0,0,6,0,5,83,1,6,0,2,0,8,25,24,6,24,3,0,0,0,68,1,0,439,40,0,1,3.0,1.0,13.333333333333334,3.92,1.0868142240234724,3.0,1.0,False,False,False,False,False
